2025-07-15 16:45:28 | INFO | Starting Digital Twin Application
2025-07-15 16:45:28 | INFO | Loading configuration from D:\AAS\integration_layer_interface\config_aas.yaml
2025-07-15 16:45:28 | INFO | Executing parser: cim_gen
2025-07-15 16:45:28 | INFO | Starting CIM generation process
2025-07-15 16:45:28 | CRITICAL | Unexpected error during execution: [Errno 2] No such file or directory: 'AAS/Cim_gen/config_cim.yaml'
2025-07-15 16:48:40 | INFO | Starting Digital Twin Application
2025-07-15 16:48:40 | INFO | Loading configuration from D:\AAS\integration_layer_interface\config_aas.yaml
2025-07-15 16:48:40 | INFO | Executing parser: cim_gen
2025-07-15 16:48:40 | INFO | Starting CIM generation process
2025-07-15 16:49:21 | CRITICAL | Unexpected error during execution: [WinError 3] The system cannot find the path specified: 'Grids/1-LV-rural1--2-no_sw_EV_HP/CIM3/'
2025-07-15 16:52:45 | INFO | Starting Digital Twin Application
2025-07-15 16:52:45 | INFO | Loading configuration from D:\AAS\integration_layer_interface\config_aas.yaml
2025-07-15 16:52:45 | INFO | Executing parser: cim_gen
2025-07-15 16:52:45 | INFO | Starting CIM generation process
2025-07-15 16:52:52 | CRITICAL | Unexpected error during execution: [WinError 3] The system cannot find the path specified: 'Grids/1-LV-rural1--2-no_sw_EV_HP/CIM3/'
2025-07-15 16:54:16 | INFO | Starting Digital Twin Application
2025-07-15 16:54:16 | INFO | Loading configuration from D:\AAS\integration_layer_interface\config_aas.yaml
2025-07-15 16:54:16 | INFO | Executing parser: cim_gen
2025-07-15 16:54:16 | INFO | Starting CIM generation process
2025-07-15 16:54:20 | CRITICAL | Unexpected error during execution: [WinError 3] The system cannot find the path specified: 'Grids/1-LV-rural1--2-no_sw_EV_HP/CIM3/'
2025-07-15 16:58:15 | INFO | Starting Digital Twin Application
2025-07-15 16:58:15 | INFO | Loading configuration from D:\AAS\integration_layer_interface\config_aas.yaml
2025-07-15 16:58:15 | INFO | Executing parser: cim_gen
2025-07-15 16:58:15 | INFO | Starting CIM generation process
2025-07-15 16:58:22 | CRITICAL | Unexpected error during execution: [WinError 3] The system cannot find the path specified: 'D:\\AAS\\Cim_gen\\Cim_gen\\Grids\\1-LV-rural1--2-no_sw_EV_HP\\CIM3'
2025-07-15 16:58:52 | INFO | Starting Digital Twin Application
2025-07-15 16:58:52 | INFO | Loading configuration from D:\AAS\integration_layer_interface\config_aas.yaml
2025-07-15 16:58:52 | INFO | Executing parser: cim_gen
2025-07-15 16:58:52 | INFO | Starting CIM generation process
2025-07-15 16:58:55 | CRITICAL | Unexpected error during execution: 'PyToolchainConfig'
2025-07-15 17:00:14 | INFO | Starting Digital Twin Application
2025-07-15 17:00:14 | INFO | Loading configuration from D:\AAS\integration_layer_interface\config_aas.yaml
2025-07-15 17:00:14 | INFO | Executing parser: cim_gen
2025-07-15 17:00:14 | INFO | Starting CIM generation process
2025-07-15 17:00:41 | CRITICAL | Unexpected error during execution: unsupported operand type(s) for +: 'WindowsPath' and 'str'
2025-07-15 17:04:13 | INFO | Starting Digital Twin Application
2025-07-15 17:04:13 | INFO | Loading configuration from D:\AAS\integration_layer_interface\config_aas.yaml
2025-07-15 17:04:13 | INFO | Executing parser: cim_gen
2025-07-15 17:04:13 | INFO | Starting CIM generation process
2025-07-15 17:05:44 | CRITICAL | Unexpected error during execution: unsupported operand type(s) for +: 'WindowsPath' and 'str'
2025-07-15 17:06:10 | INFO | Starting Digital Twin Application
2025-07-15 17:06:10 | INFO | Loading configuration from D:\AAS\integration_layer_interface\config_aas.yaml
2025-07-15 17:06:10 | INFO | Executing parser: cim_gen
2025-07-15 17:06:10 | INFO | Starting CIM generation process
2025-07-15 17:08:04 | CRITICAL | Unexpected error during execution: unsupported operand type(s) for +: 'WindowsPath' and 'str'
2025-07-15 17:10:48 | INFO | Starting Digital Twin Application
2025-07-15 17:10:48 | INFO | Loading configuration from D:\AAS\integration_layer_interface\config_aas.yaml
2025-07-15 17:10:48 | INFO | Executing parser: cim_gen
2025-07-15 17:10:48 | INFO | Starting CIM generation process
2025-07-15 17:11:35 | CRITICAL | Unexpected error during execution: unsupported operand type(s) for +: 'WindowsPath' and 'str'
2025-07-15 17:13:32 | INFO | Starting Digital Twin Application
2025-07-15 17:13:32 | INFO | Loading configuration from D:\AAS\integration_layer_interface\config_aas.yaml
2025-07-15 17:13:32 | INFO | Executing parser: cim_gen
2025-07-15 17:13:32 | INFO | Starting CIM generation process
2025-07-15 17:13:37 | CRITICAL | Unexpected error during execution: 'converter'
2025-07-15 17:15:06 | INFO | Starting Digital Twin Application
2025-07-15 17:15:06 | INFO | Loading configuration from D:\AAS\integration_layer_interface\config_aas.yaml
